Date,AAPL,GOOG,MSFT,NFLX
2023-07-18,64.97621709547903,61.123306023944735,74.67322058562254,79.91914074944927
2023-07-19,65.30612570804395,53.86012215352761,67.92835803909296,77.60435044020967
2023-07-20,58.53424542641431,49.008257089271204,59.68217542596592,53.67024852579268
2023-07-21,44.21653372840949,48.62613662784419,52.75360539148859,44.70789851641728
2023-07-24,50.860513111222396,52.62112882988713,56.19776707395731,44.671825835022396
2023-07-25,56.90172298189089,50.33306356222374,60.15836273135843,42.34393883336333
2023-07-26,57.91641893991511,64.95375969258683,47.610596975745125,43.07969314711238
2023-07-27,57.40958685573067,67.00454510545157,45.737148721857125,40.07484693823002
2023-07-28,70.41852870253858,78.33567153299728,54.165608918749015,44.08202811454423
2023-07-31,73.55088890720742,77.75775542865566,52.147934448954594,49.576158564597016
2023-08-01,67.25765869759304,72.68021944455178,49.4341998588963,48.09860861707625
2023-08-02,55.31805546937029,57.59266264387598,40.450989822472835,42.88760466937178
2023-08-03,51.17415682945929,56.30391489671024,38.03452449130481,46.053104278049474
2023-08-04,27.203653760084592,57.26815612903802,38.5332683497417,42.94023555085452
2023-08-07,24.520563049375255,64.90893651112484,28.02212753833875,35.210292393938914
2023-08-08,23.41902047849426,68.0047401642804,28.169637263321093,32.88016601566916
2023-08-09,23.71567307299955,72.49995474095013,30.16102582398763,44.92735084975377
2023-08-10,24.55371486446073,71.63458749008815,32.5460435210891,51.650260520423515
2023-08-11,22.11034463140227,69.41446793608479,30.009943035116535,45.937769855548645
2023-08-14,24.366431781581724,70.452435686276,26.549391931739095,50.045426263347544
2023-08-15,20.347836517155386,51.81655341513133,32.85924988772054,50.59134161362271
2023-08-16,20.63493772154841,47.85797165522835,37.359093172326865,51.328051535744564
2023-08-17,11.444733402503601,42.00634456579139,20.71400885337043,36.706353517267466
2023-08-18,11.03624311378671,36.26379154230524,21.939863269549292,26.736021782008393
2023-08-21,15.545500042813941,41.68540433502351,31.751606952355644,30.414582534396814
2023-08-22,21.626625299675652,53.42912471184349,41.964244877145894,38.73825548008292
2023-08-23,32.98340962724238,61.87161778433459,50.484879134920966,48.00508214367643
2023-08-24,38.82025106139454,54.42144548912653,40.468617551407746,38.41674869929918
2023-08-25,49.50371088832249,46.55268765801584,41.440593206988645,38.38203251097706
2023-08-28,50.78597176172193,49.86930758143649,46.93294246976915,40.452834795106135
2023-08-29,60.928845574108315,62.630076474175986,57.88265353786364,50.502163618423694
2023-08-30,65.90011810021073,64.92001683071646,57.53603360703412,52.091323569595744
2023-08-31,66.53543839238023,65.67684606040737,58.88391910389635,55.73472658089326
2023-09-01,66.44737172324969,61.40429626226863,56.44171361462393,55.768498292989015
2023-09-05,71.39366218726916,65.84643318960661,65.15428924089693,61.39597268343537
2023-09-06,59.177765447435334,65.2682451910731,66.51671724666046,64.53437799995316
2023-09-07,54.769560250584476,64.36431008727581,67.49935038374491,71.25159551607473
2023-09-08,54.92655606173765,74.39607908018262,71.59505138874071,70.52009463227884
2023-09-11,54.721037860068485,74.00541664691761,70.3497382879204,70.13577915953181
2023-09-12,48.80617058668211,66.56280254090788,60.33296346425073,60.997541812732976
2023-09-13,40.6998756705759,62.492679437105366,60.11160717326768,42.77216853097284
2023-09-14,49.05716023667767,77.00060958138873,73.17496818725904,46.681780786764485
2023-09-15,44.45128570810372,73.35785601681556,57.89013673044227,39.56717017823876
2023-09-18,46.71791729756167,72.6182866296734,55.78582092403944,37.141306622942516
2023-09-19,41.85223554158079,63.59930117894988,50.285566543105155,29.363652832686853
2023-09-20,30.41240483542002,42.24141594639609,41.90224518571837,22.229880715559474
2023-09-21,28.474386656726637,33.25881643511272,41.72530749230004,21.93768744962007
2023-09-22,26.82464121383694,34.09743748934291,38.656287719811225,15.23324624456167
2023-09-25,29.174346602707388,37.58205342237062,32.96449012806467,11.322359128774693
